GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
producto,com.productos.controller,ProductoController,0,246,0,0,0,38,0,9,0,9
producto,com.productos.service,ProductoService,0,64,0,4,0,12,0,9,0,7
producto,com.productos,ProductoApplication,5,3,0,0,2,1,1,1,1,1
producto,com.productos.dto,ProductoRequest,0,26,0,0,0,11,0,6,0,6
producto,com.productos.dto,ProductoDTO,0,36,0,0,0,15,0,8,0,8
producto,com.productos.exception,ProductoNotFoundException,0,9,0,0,0,4,0,2,0,2
producto,com.productos.exception,GlobalExceptionHandler,0,113,0,0,0,21,0,5,0,5
producto,com.productos.entity,Producto,0,44,0,0,0,17,0,9,0,9
producto,com.productos.config,CorrelationIdFilter,0,29,1,3,0,9,1,3,0,2
producto,com.productos.config,ApiKeyFilter,0,25,0,2,0,8,0,3,0,2
producto,com.productos.config,SwaggerConfig,0,29,0,0,0,10,0,3,0,3
producto,com.productos.api,JsonApiResponse.JsonApiData,0,26,0,2,0,8,0,5,0,4
producto,com.productos.api,JsonApiResponse.Item,0,9,0,0,0,1,0,1,0,1
producto,com.productos.api,JsonApiResponse,3,31,0,0,1,5,1,3,1,3
